	GEOID	StateName	CountyName	TractName	ALAND	AWATER	N_Adders	IRA_ec	Brownfield	IRA_LIC_C1	IRA_LIC_TL	HUD_Count	IRA_LIC_AS	IRA_CEJST	Com_npv_map	NPV_com_na	NPV_com_st	NPV_com_m	PB_com_na	PB_com_m	Res_npv_map	NPV_res_na	NPV_res_st	NPV_res_m	PB_res_na	PB_res_m	Total_Pop	P_Hispanic	P_nh_Black	P_nh_White	P_nh_Asian	P_nh_Native	P_nh_Other	Median_inc	P_Poverty	P_OwnerOcc	SVI	GOV1_count	GOV1_kW_ca	GOV1_kWh_p	GOV2_count	GOV2_kW_ca	GOV2_kWh_p	EDU1_count	EDU1_kW_ca	EDU1_kWh_p	EDU2_count	EDU2_kW_ca	EDU2_kWh_p
114	9110471100	 Connecticut	 Capitol Planning Region	Census Tract 4711	2734068	0	1	0	1	100	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3468	14.85	75.29	6.78	0	0	3.09	74167	12.3	73.5	41.8	6	16	19732	0	0	0	0	0	0	0	0	0
115	9110471500	 Connecticut	 Capitol Planning Region	Census Tract 4715	16750537	42414	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	4290	10.26	53.47	24.59	8.09	0	3.59	103564	5	61.8	71.5	4	30	36828	1	0	0	3	1248	1531381	0	0	0
116	9110473400	 Connecticut	 Capitol Planning Region	Census Tract 4734	2329556	29953	0	0	2	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	1829	7.16	15.69	69.71	0.71	0	6.72	86500	11.6	58	50.6	17	499	612930	1	27	33885	3	182	224075	0	0	0
117	9110473602	 Connecticut	 Capitol Planning Region	Census Tract 4736.02	3227130	80773	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2341	12	26.27	51.35	4.4	2.22	3.76	82917	9.3	47.9	61.1	5	126	154550	0	0	0	2	293	359850	0	0	0
118	9110492200	 Connecticut	 Capitol Planning Region	Census Tract 4922	2703223	0	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	4187	15.72	4.66	74.25	2.39	0	2.99	122391	4.7	83.7	21.6	2	35	43279	0	0	0	9	2323	2849098	0	0	0
119	9110492300	 Connecticut	 Capitol Planning Region	Census Tract 4923	5448308	35432	0	0	1	0	0	2	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	6016	18.68	4.7	65.53	9.03	0.2	1.86	83028	16.9	66.4	58.3	11	824	1010578	0	0	0	6	798	979035	0	0	0
120	9110500400	 Connecticut	 Capitol Planning Region	Census Tract 5004	948719	0	1	0	7	100	0	1	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	1682	55.23	27.71	11.18	1.84	0	4.04	39250	29.9	8.6	97.3	30	3882	4761694	0	0	0	5	472	580062	0	0	0
121	9110501200	 Connecticut	 Capitol Planning Region	Census Tract 5012	731974	0	1	0	1	100	0	5	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2836	38.65	51.66	3.63	0	0	6.06	20568	56	6.8	90.4	8	99	122468	0	0	0	2	167	204870	0	0	0
122	9110501300	 Connecticut	 Capitol Planning Region	Census Tract 5013	262251	0	1	0	1	100	0	1	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	1724	45.3	47.39	1.68	0	0	5.63	21855	40.8	12.8	88	17	609	747576	0	0	0	1	34	41857	0	0	0
123	9110501500	 Connecticut	 Capitol Planning Region	Census Tract 5015	1789690	13593	1	0	1	100	0	2	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2985	28.44	69.48	1.07	0	0	1.01	36728	29.7	41.8	92.4	7	75	92029	0	0	0	2	230	282807	0	0	0
